 	Label	slice	Saturated	J.D.-2400000	JD_UTC	BJD-OBS	AIRMASS	EXPTIME	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	RA_T1	DEC_T1
28	lsc1m005-fa15-20190407-0085-e91.fits	28.000000	0.000000	58581.497740	2458581.497740	NaN	1.343745	42.000000	75.127773	22.000000	39.000000	59.000000	402.586467	403.789697	403.086467	415.710303	38940.679885	1520.530844	738.198916	52.750931	7851.898438	25.609924	213.008824	5275.000000	2.843175	6.697311	7.480434	5.914188	330.407205	0.797165	5.036709	-54.353776
29	lsc1m005-fa15-20190407-0086-e91.fits	29.000000	0.000000	58581.498525	2458581.498525	NaN	1.347133	42.000000	77.997926	22.000000	39.000000	59.000000	402.606528	403.771103	403.106528	415.728897	41381.282758	1520.530844	736.864095	56.158636	7698.627930	27.215024	210.382041	5266.000000	2.870153	9.967398	11.419770	8.515026	9.113017	0.909737	5.036710	-54.353750
30	lsc1m005-fa15-20190407-0087-e91.fits	30.000000	0.000000	58581.499311	2458581.499311	NaN	1.350553	42.000000	80.892011	22.000000	39.000000	59.000000	402.589557	403.833258	403.089557	415.666742	40706.150150	1520.530844	737.510248	55.194013	7652.885254	26.771012	211.278727	5262.000000	2.894085	9.122293	10.015143	8.229444	356.640799	0.961884	5.036708	-54.353764
31	lsc1m005-fa15-20190407-0088-e91.fits	31.000000	0.000000	58581.500097	2458581.500097	NaN	1.354005	42.000000	83.780185	22.000000	39.000000	59.000000	402.619181	403.710395	403.119181	415.789605	40586.143681	1520.530844	737.351793	55.043121	7770.095703	26.692088	211.811882	5307.000000	2.888174	9.104181	10.353742	7.854620	353.924260	0.924043	5.036708	-54.353743
32	lsc1m005-fa15-20190407-0089-e91.fits	32.000000	0.000000	58581.500884	2458581.500884	NaN	1.357505	42.000000	86.626012	22.000000	39.000000	59.000000	402.579583	403.760349	403.079583	415.739651	40102.905176	1520.530844	739.582607	54.223700	8125.956055	26.374279	213.510830	5260.000000	2.845827	7.994503	8.381009	7.607997	32.185148	0.950263	5.036709	-54.353763
33	lsc1m005-fa15-20190407-0090-e91.fits	33.000000	0.000000	58581.501670	2458581.501670	NaN	1.361024	42.000000	89.475306	22.000000	39.000000	59.000000	402.593411	403.820811	403.093411	415.679189	41246.035372	1520.530844	740.258952	55.718388	7903.837891	27.126076	214.025731	5293.000000	2.849294	9.440124	10.260818	8.619431	345.432964	0.960968	5.036711	-54.353767
34	lsc1m005-fa15-20190407-0091-e91.fits	34.000000	0.000000	58581.502462	2458581.502462	NaN	1.364592	42.000000	92.383272	22.000000	39.000000	59.000000	402.603314	403.755420	403.103314	415.744580	41260.218365	1520.530844	743.226296	55.515014	7362.819336	27.135404	215.135968	5174.000000	2.907966	10.412412	11.664557	9.160267	359.943147	0.943792	5.036708	-54.353758
35	lsc1m005-fa15-20190407-0092-e91.fits	35.000000	0.000000	58581.503249	2458581.503249	NaN	1.368207	42.000000	95.294602	22.000000	39.000000	59.000000	402.553460	403.819201	403.053460	415.680799	41436.602830	1520.530844	738.255257	56.127745	7545.249512	27.251406	212.379758	5318.000000	2.911330	10.263812	10.657328	9.870295	32.290140	0.968181	5.036709	-54.353781
36	lsc1m005-fa15-20190407-0093-e91.fits	36.000000	0.000000	58581.504038	2458581.504038	NaN	1.371824	42.000000	98.238136	22.000000	39.000000	59.000000	402.627034	403.808611	403.127034	415.691389	39363.090121	1520.530844	741.397555	53.093094	7404.905273	25.887729	213.632508	5123.000000	2.943534	5.910942	7.128000	4.693883	23.802718	0.656690	5.036708	-54.353761
37	lsc1m005-fa15-20190407-0094-e91.fits	37.000000	0.000000	58581.504825	2458581.504825	NaN	1.375491	42.000000	101.131748	22.000000	39.000000	59.000000	402.613553	403.750853	403.113553	415.749147	40831.678108	1520.530844	740.768327	55.120713	8079.909180	26.853568	213.849766	5231.000000	2.893612	8.891645	11.081405	6.701885	352.958007	0.770779	5.036708	-54.353756
38	lsc1m005-fa15-20190407-0095-e91.fits	38.000000	0.000000	58581.505612	2458581.505612	NaN	1.379190	42.000000	104.001457	22.000000	39.000000	59.000000	402.627762	403.742979	403.127762	415.757021	42300.555930	1520.530844	741.615958	57.038357	8155.005859	27.819597	213.603455	5210.000000	2.869708	10.327977	11.255271	9.400683	13.323801	0.960278	5.036709	-54.353740
39	lsc1m005-fa15-20190407-0096-e91.fits	39.000000	0.000000	58581.506401	2458581.506401	NaN	1.382924	42.000000	106.932498	22.000000	39.000000	59.000000	402.597029	403.773502	403.097029	415.726498	40640.068570	1520.530844	740.550115	54.878215	7602.887695	26.727553	212.942642	5175.000000	2.931041	8.347842	9.735614	6.960070	12.395197	0.872989	5.036708	-54.353745
40	lsc1m005-fa15-20190407-0097-e91.fits	40.000000	0.000000	58581.507192	2458581.507192	NaN	1.386710	42.000000	109.605699	22.000000	39.000000	59.000000	402.545986	403.822435	403.045986	415.677565	38165.876575	1520.530844	738.691643	51.666858	6719.122559	25.100363	212.711383	5193.000000	2.673202	6.373586	7.959797	4.787376	8.953628	0.757368	5.036712	-54.353766
41	lsc1m005-fa15-20190407-0098-e91.fits	41.000000	0.000000	58581.507977	2458581.507977	NaN	1.390501	42.000000	112.370126	22.000000	39.000000	59.000000	402.506729	403.839482	403.006729	415.660518	38487.698512	1520.530844	737.540010	52.183879	5867.983398	25.312014	212.130872	5240.000000	2.764426	8.131673	9.080670	7.182675	354.541333	0.945002	5.036716	-54.353775
42	lsc1m005-fa15-20190407-0099-e91.fits	42.000000	0.000000	58581.508766	2458581.508766	NaN	1.394342	42.000000	115.065986	22.000000	39.000000	59.000000	402.530110	403.835884	403.030110	415.664116	38597.505291	1520.530844	740.579910	52.117948	6517.074707	25.384230	213.237957	5122.000000	2.695860	7.965772	9.445531	6.486012	1.267235	0.870768	5.036714	-54.353784
43	lsc1m005-fa15-20190407-0100-e91.fits	43.000000	0.000000	58581.509557	2458581.509557	NaN	1.398236	42.000000	118.038360	22.000000	39.000000	59.000000	402.571402	403.762352	403.071402	415.737648	40878.297111	1520.530844	739.506400	55.277814	7757.242676	26.884227	213.792275	5314.000000	2.972374	8.752047	8.948328	8.555766	352.847368	0.997859	5.036711	-54.353757
44	lsc1m005-fa15-20190407-0101-e91.fits	44.000000	0.000000	58581.510344	2458581.510344	NaN	1.402148	42.000000	121.148269	22.000000	39.000000	59.000000	402.560214	403.791439	403.060214	415.708561	39046.658786	1520.530844	738.825475	52.849638	6788.534180	25.679623	214.044121	5311.000000	3.109909	9.619654	9.991021	9.248288	15.733833	0.991830	5.036712	-54.353738
45	lsc1m005-fa15-20190407-0102-e91.fits	45.000000	0.000000	58581.511130	2458581.511130	NaN	1.406079	42.000000	124.285757	22.000000	39.000000	59.000000	402.597101	403.707038	403.097101	415.792962	38669.143521	1520.530844	739.004219	52.326012	6569.806152	25.431344	214.571257	5323.000000	3.137487	7.416168	8.749616	6.082719	356.634492	0.876966	5.036712	-54.353735
46	lsc1m005-fa15-20190407-0103-e91.fits	46.000000	0.000000	58581.511916	2458581.511916	NaN	1.410064	42.000000	127.283144	22.000000	39.000000	59.000000	402.610367	403.743167	403.110367	415.756833	40103.174888	1520.530844	737.637677	54.367037	7002.995605	26.374457	211.942199	5279.000000	2.997387	10.670008	11.048424	10.291592	349.437917	0.994232	5.036709	-54.353771
47	lsc1m005-fa15-20190407-0104-e91.fits	47.000000	0.000000	58581.512701	2458581.512701	NaN	1.414067	42.000000	130.383076	22.000000	39.000000	59.000000	402.583896	403.768655	403.083896	415.731345	38304.902185	1520.530844	738.668398	51.856695	6471.247070	25.191796	213.650230	5266.000000	3.099932	8.399279	9.524480	7.274078	356.653757	0.929770	5.036707	-54.353764
48	lsc1m005-fa15-20190407-0105-e91.fits	48.000000	0.000000	58581.513489	2458581.513489	NaN	1.418143	42.000000	133.422092	22.000000	39.000000	59.000000	402.651563	403.771634	403.151563	415.728366	39185.716231	1520.530844	741.789313	52.825938	6782.022461	25.771076	215.195066	5199.000000	3.039016	7.361565	9.553652	5.169478	347.962698	0.641006	5.036706	-54.353756
49	lsc1m005-fa15-20190407-0106-e91.fits	49.000000	0.000000	58581.514277	2458581.514277	NaN	1.422239	42.000000	136.486550	22.000000	39.000000	59.000000	402.637984	403.717210	403.137984	415.782790	39543.048629	1520.530844	740.705250	53.385673	7218.573242	26.006081	215.664631	5318.000000	3.064458	9.303459	10.855966	7.750951	3.165338	0.893268	5.036705	-54.353729
50	lsc1m005-fa15-20190407-0107-e91.fits	50.000000	0.000000	58581.515064	2458581.515064	NaN	1.426375	42.000000	139.753272	22.000000	39.000000	59.000000	402.542146	403.637925	403.042146	415.862075	38840.168120	1520.530844	739.862112	52.496496	7068.179199	25.543821	215.032455	5304.000000	3.266722	8.793606	9.822918	7.764293	350.006386	0.939611	5.036711	-54.353730
51	lsc1m005-fa15-20190407-0108-e91.fits	51.000000	0.000000	58581.515850	2458581.515850	NaN	1.430532	42.000000	142.916962	22.000000	39.000000	59.000000	402.639809	403.671762	403.139809	415.828238	38232.167854	1520.530844	742.826059	51.468533	6617.902344	25.143961	216.688123	5201.000000	3.163690	9.052726	10.839556	7.265896	352.116669	0.844123	5.036710	-54.353745
52	lsc1m005-fa15-20190407-0109-e91.fits	52.000000	0.000000	58581.516634	2458581.516634	NaN	1.434726	42.000000	145.612658	22.000000	39.000000	59.000000	402.516328	403.712190	403.016328	415.787810	37937.720352	1520.530844	743.737796	51.009537	6843.199219	24.950313	220.043370	5367.000000	2.695696	7.599226	9.807038	5.391414	346.966017	0.644170	5.036711	-54.353753
53	lsc1m005-fa15-20190407-0110-e91.fits	53.000000	0.000000	58581.517420	2458581.517420	NaN	1.438977	42.000000	148.443980	22.000000	39.000000	59.000000	402.628014	403.740647	403.128014	415.759353	39980.653540	1520.530844	745.455712	53.632500	8082.292969	26.293879	220.621454	5366.000000	2.831322	9.927577	12.516975	7.338178	352.747416	0.745469	5.036707	-54.353770
54	lsc1m005-fa15-20190407-0111-e91.fits	54.000000	0.000000	58581.518206	2458581.518206	NaN	1.443263	42.000000	151.507944	22.000000	39.000000	59.000000	402.647734	403.695716	403.147734	415.804284	38333.407085	1520.530844	747.978324	51.249356	6640.770996	25.210542	221.184926	5178.000000	3.063965	8.409358	8.554151	8.264565	21.449997	0.997791	5.036706	-54.353741
55	lsc1m005-fa15-20190407-0112-e91.fits	55.000000	0.000000	58581.518993	2458581.518993	NaN	1.447589	42.000000	154.594428	22.000000	39.000000	59.000000	402.592342	403.760074	403.092342	415.739926	38422.762910	1520.530844	746.560449	51.466379	6167.889160	25.269308	221.522359	5298.000000	3.086483	10.247637	10.969170	9.526105	328.478726	0.904456	5.036710	-54.353759
56	lsc1m005-fa15-20190407-0113-e91.fits	56.000000	0.000000	58581.519785	2458581.519785	NaN	1.451996	42.000000	157.708068	22.000000	39.000000	59.000000	402.586068	403.772903	403.086068	415.727097	39210.562649	1520.530844	748.317099	52.398325	6184.096191	25.787417	221.864462	5233.000000	3.113641	8.615070	10.261634	6.968507	358.695517	0.863718	5.036708	-54.353791
57	lsc1m005-fa15-20190407-0114-e91.fits	57.000000	0.000000	58581.520571	2458581.520571	NaN	1.456406	42.000000	160.699083	22.000000	39.000000	59.000000	402.626145	403.759260	403.126145	415.740740	38782.457195	1520.530844	748.406807	51.820022	6308.206055	25.505867	221.378825	5179.000000	2.991015	9.090543	11.210036	6.971049	18.567044	0.692245	5.036711	-54.353765
58	lsc1m005-fa15-20190407-0115-e91.fits	58.000000	0.000000	58581.521361	2458581.521361	NaN	1.460877	42.000000	163.602650	22.000000	39.000000	59.000000	402.596878	403.696689	403.096878	415.803311	39762.620337	1520.530844	747.280148	53.209791	6702.980469	26.150486	222.574773	5373.000000	2.903567	9.300244	9.179089	9.421399	309.495933	0.981389	5.036708	-54.353764
59	lsc1m005-fa15-20190407-0116-e91.fits	59.000000	0.000000	58581.522149	2458581.522149	NaN	1.465369	42.000000	166.631912	22.000000	39.000000	59.000000	402.575814	403.735473	403.075814	415.764527	37478.805081	1520.530844	751.420577	49.877267	6040.711914	24.648500	225.314566	5206.000000	3.029262	6.995868	7.991054	6.000681	14.362109	0.898879	5.036713	-54.353723
60	lsc1m005-fa15-20190407-0117-e91.fits	60.000000	0.000000	58581.522934	2458581.522934	NaN	1.469906	42.000000	169.590716	22.000000	39.000000	59.000000	402.592017	403.648120	403.092017	415.851880	38163.780559	1520.530844	751.984186	50.750775	6474.816895	25.098985	225.829104	5228.000000	2.958805	7.649398	8.505671	6.793125	25.065055	0.881031	5.036710	-54.353723
61	lsc1m005-fa15-20190407-0118-e91.fits	61.000000	0.000000	58581.523719	2458581.523719	NaN	1.474464	42.000000	172.369537	22.000000	39.000000	59.000000	402.629684	403.707827	403.129684	415.792173	38185.021959	1520.530844	753.542424	50.674017	7867.184082	25.112955	226.986840	5206.000000	2.778820	7.254060	8.174469	6.333651	339.828871	0.892636	5.036710	-54.353750
62	lsc1m005-fa15-20190407-0119-e91.fits	62.000000	0.000000	58581.524503	2458581.524503	NaN	1.479083	42.000000	175.102910	22.000000	39.000000	59.000000	402.653887	403.693091	403.153887	415.806909	39211.638738	1520.530844	753.101866	52.066846	7466.873535	25.788125	227.801383	5327.000000	2.733374	8.624230	9.731743	7.516717	353.959680	0.933233	5.036708	-54.353739
63	lsc1m005-fa15-20190407-0120-e91.fits	63.000000	0.000000	58581.525293	2458581.525293	NaN	1.483744	42.000000	177.966718	22.000000	39.000000	59.000000	402.596686	403.657851	403.096686	415.842149	38690.490911	1520.530844	755.319595	51.224000	6553.600098	25.445384	227.578756	5149.000000	2.863807	9.482629	11.061539	7.903719	339.730851	0.818210	5.036709	-54.353713
64	lsc1m005-fa15-20190407-0121-e91.fits	64.000000	0.000000	58581.526079	2458581.526079	NaN	1.488447	42.000000	180.836087	22.000000	39.000000	59.000000	402.731011	403.712841	403.231011	415.787159	37787.416222	1520.530844	754.738385	50.066907	6122.036133	24.851463	228.381603	5209.000000	2.869369	8.880687	8.900710	8.860663	44.040214	0.981877	5.036703	-54.353757
65	lsc1m005-fa15-20190407-0122-e91.fits	65.000000	0.000000	58581.526867	2458581.526867	NaN	1.493222	42.000000	183.656555	22.000000	39.000000	59.000000	402.662461	403.735842	403.162461	415.764158	38715.958573	1520.530844	758.080425	51.071044	6523.468750	25.462133	229.323650	5091.000000	2.820468	10.666695	11.600479	9.732910	12.647734	0.963067	5.036706	-54.353774
66	lsc1m005-fa15-20190407-0123-e91.fits	66.000000	0.000000	58581.527657	2458581.527657	NaN	1.498044	42.000000	186.544286	22.000000	39.000000	59.000000	402.615482	403.730150	403.115482	415.769850	39490.813808	1520.530844	761.553625	51.855592	6630.988770	25.971728	232.381968	5098.000000	2.887730	8.452757	9.989322	6.916193	16.104230	0.826991	5.036709	-54.353763
67	lsc1m005-fa15-20190407-0124-e91.fits	67.000000	0.000000	58581.528445	2458581.528445	NaN	1.502882	42.000000	189.319147	22.000000	39.000000	59.000000	402.644031	403.668062	403.144031	415.831938	37629.999105	1520.530844	757.699933	49.663458	6588.325195	24.747935	232.219699	5270.000000	2.774861	7.965934	7.472164	8.459704	293.245056	0.967825	5.036707	-54.353743
68	lsc1m005-fa15-20190407-0125-e91.fits	68.000000	0.000000	58581.529236	2458581.529236	NaN	1.507810	42.000000	192.080358	22.000000	39.000000	59.000000	402.653549	403.801243	403.153549	415.698757	38919.029052	1520.530844	760.015048	51.208235	7217.878418	25.595685	233.491446	5249.000000	2.761211	9.449661	10.715967	8.183355	26.531446	0.808051	5.036707	-54.353734
69	lsc1m005-fa15-20190407-0126-e91.fits	69.000000	0.000000	58581.530024	2458581.530024	NaN	1.512739	42.000000	194.752002	22.000000	39.000000	59.000000	402.598884	403.743485	403.098884	415.756515	39076.010888	1520.530844	760.699943	51.368495	8131.187988	25.698927	234.992642	5311.000000	2.671644	9.747498	10.803400	8.691596	346.222363	0.941660	5.036710	-54.353747
70	lsc1m005-fa15-20190407-0127-e91.fits	70.000000	0.000000	58581.530812	2458581.530812	NaN	1.517760	42.000000	197.410182	22.000000	39.000000	59.000000	402.643994	403.795612	403.143994	415.704388	41007.395056	1520.530844	761.270416	53.867055	8251.610352	26.969131	236.414054	5440.000000	2.658180	11.009689	11.901380	10.117998	337.865398	0.949493	5.036708	-54.353744
71	lsc1m005-fa15-20190407-0128-e91.fits	71.000000	0.000000	58581.531600	2458581.531600	NaN	1.522780	42.000000	200.181054	22.000000	39.000000	59.000000	402.681596	403.688986	403.181596	415.811014	39486.440086	1520.530844	765.345448	51.592964	7531.296387	25.968852	238.505690	5257.000000	2.770872	9.927815	10.639744	9.215887	13.507601	0.974348	5.036707	-54.353744
72	lsc1m005-fa15-20190407-0129-e91.fits	72.000000	0.000000	58581.532387	2458581.532387	NaN	1.527847	42.000000	202.801411	22.000000	39.000000	59.000000	402.718749	403.749629	403.218749	415.750371	37860.551789	1520.530844	767.021258	49.360499	8819.124023	24.899562	240.652653	5236.000000	2.620356	8.846550	9.679830	8.013271	342.774049	0.948722	5.036705	-54.353747
73	lsc1m005-fa15-20190407-0130-e91.fits	73.000000	0.000000	58581.533175	2458581.533175	NaN	1.533008	42.000000	205.570075	22.000000	39.000000	59.000000	402.743446	403.702159	403.243446	415.797841	39580.846550	1520.530844	768.231724	51.522015	7814.820801	26.030940	241.340729	5261.000000	2.768665	9.036812	10.813776	7.259847	5.943283	0.850286	5.036702	-54.353753
74	lsc1m005-fa15-20190407-0131-e91.fits	74.000000	0.000000	58581.533964	2458581.533964	NaN	1.538172	42.000000	208.199220	22.000000	39.000000	59.000000	402.749099	403.623472	403.249099	415.876528	40384.616774	1520.530844	769.929104	52.452384	8946.799805	26.559551	241.658011	5200.000000	2.629144	9.570818	10.445102	8.696534	18.811378	0.947670	5.036700	-54.353702
75	lsc1m005-fa15-20190407-0132-e91.fits	75.000000	0.000000	58581.534751	2458581.534751	NaN	1.543410	42.000000	211.022059	22.000000	39.000000	59.000000	402.720028	403.621489	403.220028	415.878511	39754.057176	1520.530844	768.683015	51.717101	6901.670410	26.144854	241.785796	5267.000000	2.822840	10.644380	12.003668	9.285092	12.213309	0.923820	5.036703	-54.353697
76	lsc1m005-fa15-20190407-0133-e91.fits	76.000000	0.000000	58581.535539	2458581.535539	NaN	1.548696	42.000000	213.660771	22.000000	39.000000	59.000000	402.733941	403.723992	403.233941	415.776008	39065.791618	1520.530844	771.502308	50.636001	7681.999512	25.692206	243.730950	5191.000000	2.638712	9.492656	10.245209	8.740103	354.075281	0.974081	5.036702	-54.353752
77	lsc1m005-fa15-20190407-0134-e91.fits	77.000000	0.000000	58581.536327	2458581.536327	NaN	1.554006	42.000000	216.483571	22.000000	39.000000	59.000000	402.666794	403.676664	403.166794	415.823336	39443.526392	1520.530844	772.142596	51.083215	7051.712402	25.940629	245.482474	5276.000000	2.822799	9.095158	10.778839	7.411477	18.530998	0.798765	5.036706	-54.353734
78	lsc1m005-fa15-20190407-0135-e91.fits	78.000000	0.000000	58581.537118	2458581.537118	NaN	1.559416	42.000000	219.281756	22.000000	39.000000	59.000000	402.662160	403.722717	403.162160	415.777283	37099.619520	1520.530844	771.009800	48.118220	7182.219727	24.399123	245.670424	5283.000000	2.798185	7.813484	9.492048	6.134921	7.151380	0.820359	5.036703	-54.353754
79	lsc1m005-fa15-20190407-0136-e91.fits	79.000000	0.000000	58581.537904	2458581.537904	NaN	1.564857	42.000000	221.931892	22.000000	39.000000	59.000000	402.631202	403.779237	403.131202	415.720763	39470.347044	1520.530844	771.890155	51.134668	8721.726562	25.958268	246.113132	5335.000000	2.650136	8.852712	9.790468	7.914956	0.514560	0.956093	5.036706	-54.353784
