Label,Saturated,J.D.-2400000,JD_UTC,BJD_TDB,AIRMASS,EXPTIME,FWHM_Mean,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_T2,rel_flux_T3,rel_flux_T4,rel_flux_T5,rel_flux_T6,rel_flux_C7,rel_flux_C8,rel_flux_err_T1,rel_flux_err_T2,rel_flux_err_T3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_T6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_SNR_T1,rel_flux_SNR_T2,rel_flux_SNR_T3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_T6,rel_flux_SNR_C7,rel_flux_SNR_C8,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_T2,Y(IJ)_T2,X(FITS)_T2,Y(FITS)_T2,RA_T2,DEC_T2,Source-Sky_T2,Source_Error_T2,Source_SNR_T2,Peak_T2,Mean_T2,Sky/Pixel_T2,FWHM_T2,Width_T2,X-Width_T2,Y-Width_T2,Angle_T2,Roundness_T2,X(IJ)_T3,Y(IJ)_T3,X(FITS)_T3,Y(FITS)_T3,RA_T3,DEC_T3,Source-Sky_T3,Source_Error_T3,Source_SNR_T3,Peak_T3,Mean_T3,Sky/Pixel_T3,FWHM_T3,Width_T3,X-Width_T3,Y-Width_T3,Angle_T3,Roundness_T3,X(IJ)_T4,Y(IJ)_T4,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Source_SNR_T4,Peak_T4,Mean_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,X-Width_T4,Y-Width_T4,Angle_T4,Roundness_T4,X(IJ)_T5,Y(IJ)_T5,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Source_SNR_T5,Peak_T5,Mean_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,X-Width_T5,Y-Width_T5,Angle_T5,Roundness_T5,X(IJ)_T6,Y(IJ)_T6,X(FITS)_T6,Y(FITS)_T6,RA_T6,DEC_T6,Source-Sky_T6,Source_Error_T6,Source_SNR_T6,Peak_T6,Mean_T6,Sky/Pixel_T6,FWHM_T6,Width_T6,X-Width_T6,Y-Width_T6,Angle_T6,Roundness_T6,X(IJ)_C7,Y(IJ)_C7,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Source_SNR_C7,Peak_C7,Mean_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,X-Width_C7,Y-Width_C7,Angle_C7,Roundness_C7,X(IJ)_C8,Y(IJ)_C8,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Source_SNR_C8,Peak_C8,Mean_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,X-Width_C8,Y-Width_C8,Angle_C8,Roundness_C8
elp1m008-fa05-20201220-0167-e91.fits,0,59204.85562,2459204.856,2459204.859265,1.487697,89.979,13.723257,24.42979,1.35,21,37,56,0.174432,0.110147,0.158208,0.150694,0.994835,0.037386,4.390847,0.227747,0.000529,0.000487,0.000518,0.000513,0.001187,0.000442,0.012767,0.000662,329.828317,226.030833,305.388563,293.669675,837.930254,84.545186,343.91679,343.91679,2288819.67,2048.543478,2319.938155,2059.603171,2320.438155,2036.896829,10.107895,74.827192,399242.2855,1874.948445,1156.510191,345.212942,2668.490479,212.935074,359.290355,4628,14.055859,16.995104,17.874844,16.115364,348.248878,0.987323,2180.666884,1945.718451,2181.166884,2150.781549,10.111674,74.839814,252106.2025,1092.299748,230.803132,1884.307983,134.460338,358.530196,13.856147,17.2074,17.912397,16.502403,348.854868,0.992184,2209.839048,1774.650969,2210.339048,2321.849031,10.110778,74.85827,362110.6326,1140.585074,317.477969,2451.10376,193.130981,360.23978,14.044909,17.251246,18.057705,16.444787,348.885775,0.989843,2021.588338,2289.465674,2022.088338,1807.034326,10.116234,74.802924,344911.89,1133.193347,304.371616,2350.036133,183.958066,360.158646,13.364455,17.366158,18.222499,16.509817,350.159656,0.989083,2253.060551,2399.072273,2253.560551,1697.427727,10.109921,74.79059,2276996.941,1797.500575,1266.757281,13806.50781,1214.431761,366.5155,13.745021,17.117722,18.073065,16.162379,348.654425,0.985453,2136.002411,2286.592637,2136.502411,1809.907363,10.113083,74.803008,85569.47967,1009.213531,84.78828,802.179626,45.638311,358.003416,12.191211,19.611526,18.452349,20.770704,83.913084,0.985477,1768.776057,1476.999723,1769.276057,2619.500277,10.12283,74.89134,1864244.489,1678.889244,1110.403498,10611.29785,994.291066,363.796158,14.154565,17.443355,18.161375,16.725334,353.852629,0.992925,3084.061593,1591.063915,3084.561593,2505.436085,10.086501,74.876021,424575.1809,1173.823363,361.702786,2811.114502,226.446323,361.75681,14.373888,17.334904,18.014891,16.654918,339.120273,0.988973
elp1m008-fa05-20201220-0168-e91.fits,0,59204.85696,2459204.857,2459204.860611,1.48513,89.979,14.809226,24.005067,1.35,21,37,56,0.175492,0.110683,0.157114,0.15033,0.999997,0.035909,4.359189,0.2294,0.00052,0.000477,0.000508,0.000502,0.001177,0.00043,0.012343,0.00065,337.689636,232.203041,309.550899,299.430298,849.38905,83.447258,353.162223,353.162223,2293421.157,2022.073398,2320.024517,2060.11233,2320.524517,2036.38767,10.107891,74.827168,402477.2975,1810.321534,1137.803028,353.731962,3002.373535,222.323654,355.343053,4666,13.126509,16.704308,17.558943,15.849673,351.064619,0.988501,2180.693959,1946.037275,2181.193959,2150.462725,10.111672,74.83981,253841.6932,1070.03316,237.227876,1988.724609,140.21912,355.01232,12.789508,16.924262,17.728744,16.119781,351.236216,0.990105,2209.810251,1774.951505,2210.310251,2321.548495,10.110778,74.858269,360329.6294,1119.847204,321.76678,2629.007568,199.041785,357.741628,13.284253,16.837291,17.570653,16.103928,348.179239,0.990992,2021.664338,2289.83288,2022.164338,1806.66712,10.116231,74.802915,344770.4913,1110.571235,310.444283,2558.641846,190.447103,356.239803,13.047038,16.972316,17.908881,16.035751,352.338055,0.986985,2253.166859,2399.564298,2253.666859,1696.935702,10.109917,74.790568,2293413.62,1789.314884,1281.727235,15383.85547,1266.8543,361.806723,13.610908,16.84306,17.831333,15.854788,351.020226,0.984886,2136.099688,2287.162338,2136.599688,1809.337662,10.113079,74.802977,82354.0438,984.224598,83.674035,880.39386,45.49139,354.002385,11.898857,19.304234,18.155721,20.452747,82.232825,0.984855,1768.611927,1477.110909,1769.111927,2619.389091,10.122833,74.891358,1865479.297,1663.135694,1121.663917,11710.76367,1030.46849,360.051867,13.388253,17.042646,17.74232,16.342973,353.322225,0.992902,3084.186785,1591.438325,3084.686785,2505.061675,10.086496,74.876015,427941.8598,1150.113251,372.086714,3010.658936,236.389974,356.035878,13.605223,16.995343,17.755655,16.23503,342.18639,0.987931
elp1m008-fa05-20201220-0169-e91.fits,0,59204.8583,2459204.858,2459204.861953,1.482587,89.98,14.960376,23.781709,1.35,21,37,56,0.175708,0.110637,0.159301,0.151382,1.000662,0.03757,4.383213,0.228143,0.000461,0.000418,0.000452,0.000445,0.001077,0.000373,0.011046,0.000575,381.53086,264.907904,352.741667,340.033156,929.396914,100.762423,396.832368,396.832368,2560147.313,2049.091845,2319.897343,2059.689226,2320.397343,2036.810774,10.107887,74.827161,449838.6763,1776.789555,1122.718104,400.6693,3443.273438,253.174989,333.427019,4897,13.162307,16.675778,17.528547,15.823009,349.396912,0.988027,2180.619333,1945.705256,2181.119333,2150.794744,10.111667,74.839792,283247.8092,1044.920979,271.071033,2175.917236,159.415508,333.010454,13.323507,16.599018,17.390054,15.807982,350.889357,0.989977,2209.706016,1774.622369,2210.206016,2321.877631,10.110774,74.858249,407833.1382,1109.145124,367.700429,2939.421387,229.533732,334.176888,13.579782,16.854414,17.612678,16.096149,351.325657,0.99115,2021.560405,2289.43693,2022.060405,1807.06307,10.116225,74.802905,387560.6722,1096.750362,353.371821,2982.991211,218.124128,333.555171,12.540786,16.692714,17.597777,15.787651,354.605618,0.987886,2253.002493,2399.160295,2253.502493,1697.339705,10.109914,74.790562,2561842.757,1842.203973,1390.640121,17480.53125,1441.838033,340.356429,12.964813,16.628057,17.657709,15.598404,352.055756,0.983546,2135.884715,2286.826757,2136.384715,1809.673243,10.113077,74.802962,96184.6887,951.459637,101.091717,909.200867,54.133979,331.413463,11.6292,19.315937,17.966009,20.665865,78.72056,0.977314,1768.364539,1476.744138,1768.864539,2619.755862,10.122833,74.891336,2084567.506,1707.103081,1221.11402,13423.03711,1173.221387,338.672364,14.051239,16.895269,17.597834,16.192703,354.492111,0.992846,3083.948412,1591.007077,3084.448412,2505.492923,10.086498,74.876011,475579.8066,1133.391573,419.607678,3390.212646,267.662428,334.010211,13.622146,16.880731,17.578038,16.183425,340.658005,0.988837
elp1m008-fa05-20201220-0170-e91.fits,0,59204.85965,2459204.86,2459204.863303,1.480081,89.988,15.367546,24.258731,1.35,21,37,56,0.175995,0.110864,0.159883,0.15147,1.003536,0.036961,4.361814,0.229262,0.000467,0.000425,0.000456,0.00045,0.001085,0.000379,0.01112,0.000585,377.234767,260.777404,350.551275,336.285756,924.837101,97.405278,392.231915,392.231915,2569391.928,2071.368223,2319.497558,2059.499911,2319.997558,2037.000089,10.107891,74.827168,452199.5302,1848.78341,1141.944491,395.990815,3023.167236,244.593027,332.243896,4657,13.835959,17.056225,17.811066,16.301384,347.116788,0.990378,2180.309389,1945.490285,2180.809389,2151.009715,10.111668,74.839803,284852.7339,1067.90988,266.738551,1970.737793,154.075773,331.023419,13.660837,17.138783,17.922283,16.355283,351.733117,0.990942,2209.477913,1774.455081,2209.977913,2322.044919,10.110773,74.858256,410801.4149,1124.103068,365.448175,2706.356445,222.200942,332.193895,14.055422,17.372164,18.063831,16.680498,350.140552,0.992867,2021.186623,2289.214634,2021.686623,1807.285366,10.116229,74.802916,389186.6196,1113.968202,349.369595,2617.220459,210.50958,332.069547,13.747942,17.283796,18.030785,16.536806,354.319764,0.992256,2252.671645,2398.923939,2253.171645,1697.576061,10.109916,74.790572,2578477.385,1858.001903,1387.768969,15600.2041,1394.68873,339.162421,13.18561,17.176014,18.049018,16.303009,352.7652,0.989035,2135.627903,2286.448378,2136.127903,1810.051622,10.113077,74.802988,94966.05508,971.947448,97.706985,837.826477,51.366782,330.540991,11.676519,19.668118,18.043267,21.292968,86.839203,0.972738,1768.18737,1476.600387,1768.68737,2619.899613,10.122831,74.891346,2090189.915,1718.47629,1216.304191,11787.31152,1130.575872,337.075825,14.173716,17.349261,17.940088,16.758435,354.391156,0.99519,3083.627361,1590.856024,3084.127361,2505.643976,10.086498,74.876013,479202.0126,1156.462517,414.368823,3028.358643,259.198568,332.201607,13.643988,17.26215,17.895106,16.629194,340.408687,0.991073
elp1m008-fa05-20201220-0171-e91.fits,0,59204.861,2459204.861,2459204.864647,1.477623,89.987,15.127558,23.966054,1.35,21,37,56,0.176118,0.111712,0.1582,0.150304,1.004499,0.036986,4.372343,0.22871,0.000415,0.000372,0.000403,0.000397,0.000995,0.000326,0.009911,0.000518,424.476291,300.122229,392.934265,378.420344,1009.342642,113.459345,441.150475,441.150475,2860567.551,2097.850872,2319.772212,2060.119073,2320.272212,2036.380927,10.107891,74.827171,503796.3961,1804.442029,1127.893367,446.670236,3388.20752,279.197884,305.791638,4761,12.78029,16.873133,17.642319,16.103948,351.057106,0.99086,2180.343508,1946.155841,2180.843508,2150.344159,10.111676,74.8398,319559.0485,1038.6521,307.66707,2296.592773,177.095769,305.12391,13.861653,17.056452,17.652264,16.46064,344.951366,0.993495,2209.53949,1775.068379,2210.03949,2321.431621,10.110779,74.858257,452541.703,1102.843846,410.340688,3056.564697,250.793151,307.314219,13.419907,17.061189,17.737255,16.385123,351.286733,0.993122,2021.396788,2289.951326,2021.896788,1806.548674,10.11623,74.802905,429954.1363,1091.551441,393.892693,2927.673584,238.275394,306.920319,13.313616,17.000507,17.786176,16.214837,352.707854,0.990917,2252.767056,2399.507093,2253.267056,1696.992907,10.10992,74.790581,2873436.908,1914.113662,1501.184054,18283.07227,1592.424064,314.317638,12.939644,16.885396,17.722397,16.048395,350.830524,0.989145,2135.807003,2287.256582,2136.307003,1809.243418,10.11308,74.802971,105799.858,929.257694,113.854164,880.525635,58.633005,304.196433,11.642672,19.672861,18.035195,21.310527,82.085106,0.970464,1768.241805,1477.210949,1768.741805,2619.289051,10.122838,74.89134,2328105.714,1762.575242,1320.854655,13611.86133,1290.208096,311.635453,14.068494,17.185869,17.756191,16.615546,356.4329,0.995536,3083.958641,1591.604311,3084.458641,2504.895689,10.086499,74.876006,532461.8368,1137.67605,468.025882,3543.030762,295.083925,306.083123,13.626638,17.067738,17.689263,16.446214,342.398064,0.992077
elp1m008-fa05-20201220-0172-e91.fits,0,59204.86236,2459204.862,2459204.866010,1.475165,90.031,15.14086,24.170828,1.35,21,37,56,0.175276,0.111507,0.158479,0.151492,1.000776,0.037338,4.347778,0.230003,0.000416,0.000374,0.000404,0.0004,0.000993,0.000329,0.009851,0.000521,421.271296,298.276249,391.842507,378.364066,1008.306259,113.481441,441.338284,441.338284,2877654.58,2112.796538,2319.675764,2059.902757,2320.175764,2036.597243,10.107886,74.827161,504383.0537,1835.409363,1138.578104,442.993811,3329.725342,274.806844,308.88294,4798,13.529542,16.983123,17.782265,16.183981,352.668574,0.990579,2180.419786,1945.980989,2180.919786,2150.519011,10.111666,74.839788,320877.5639,1049.659333,305.696862,2250.396484,174.826156,307.429532,13.591657,17.041835,17.770638,16.313032,352.134775,0.992133,2209.550392,1774.866347,2210.050392,2321.633653,10.110771,74.858251,456048.6435,1114.651953,409.139949,3040.050537,248.47244,310.270599,13.785711,17.20207,17.814892,16.589249,350.659166,0.994357,2021.194577,2289.548527,2021.694577,1806.951473,10.11623,74.802914,435941.7573,1106.825228,393.866842,3078.983398,237.517453,309.518634,13.767708,17.120551,17.902745,16.338357,354.810289,0.991406,2252.685075,2399.15361,2253.185075,1697.34639,10.109916,74.79058,2879886.535,1920.111408,1499.853875,18221.63867,1569.070417,317.570935,12.936037,16.947503,17.838643,16.056362,354.272083,0.98855,2135.810127,2286.725125,2136.310127,1809.774875,10.113073,74.802992,107446.2578,943.525733,113.8774,896.516235,58.540759,306.451382,11.431981,19.881703,18.581241,21.182165,83.784672,0.982207,1768.331961,1477.037464,1768.831961,2619.462536,10.122828,74.891343,2339551.77,1773.029736,1319.522015,14316.92481,1274.67573,315.032608,13.809271,17.109183,17.677362,16.541004,354.082326,0.995405,3083.768862,1591.206616,3084.268862,2505.293384,10.086491,74.876014,538102.8102,1149.0321,468.309641,3652.0896,293.178634,308.159138,13.147412,17.158798,17.866752,16.450845,342.486334,0.98988
elp1m008-fa05-20201220-0173-e91.fits,0,59204.86371,2459204.864,2459204.867354,1.472777,90.032,15.382102,24.309635,1.35,21,37,56,0.17626,0.111554,0.15864,0.15047,1.006556,0.037299,4.352424,0.229757,0.000422,0.00038,0.000411,0.000405,0.001007,0.000335,0.01002,0.000529,418.126669,293.412211,386.323205,371.324909,999.89351,111.425387,434.368361,434.368361,2851675.106,2117.348521,2319.398101,2059.593785,2319.898101,2036.906215,10.107894,74.827161,502636.8089,1856.550379,1142.716827,439.861212,3380.611328,270.736962,311.17734,4763,13.5924,17.060007,17.80773,16.312284,353.143539,0.99189,2180.100553,1945.530485,2180.600553,2150.969515,10.111675,74.839801,318116.7871,1058.155963,300.633175,2172.541748,171.348319,309.881188,13.879788,17.211931,17.977737,16.446124,357.259814,0.99204,2209.249044,1774.470978,2209.749044,2322.029022,10.11078,74.858257,452390.1188,1121.806043,403.269462,2856.089844,243.672417,312.811846,13.422205,17.407125,18.154181,16.660068,355.865083,0.992505,2021.026475,2289.281478,2021.526475,1807.218522,10.116234,74.802909,429090.2988,1110.778183,386.297017,2809.057617,231.122357,312.861222,13.790156,17.281545,18.092373,16.470718,355.061268,0.990967,2252.474775,2398.919135,2252.974775,1697.580865,10.109921,74.790574,2870369.588,1923.184693,1492.508545,17396.83789,1546.076864,320.432049,13.44057,17.156033,18.01296,16.299105,353.635165,0.989563,2135.399572,2286.574687,2135.899572,1809.925313,10.113084,74.802976,106364.0562,951.304012,111.808691,846.227295,57.291231,309.06676,12.003094,19.619094,18.078091,21.160098,82.113024,0.973679,1767.975079,1476.635575,1768.475079,2619.864425,10.122839,74.891341,2318893.151,1773.330541,1307.648573,13517.50098,1249.033249,317.433064,14.16144,17.435327,18.041636,16.829017,357.409735,0.995135,3083.565428,1590.962288,3084.065428,2505.537712,10.086501,74.876012,532781.9549,1156.919856,460.5176,3581.010742,286.974144,312.171043,13.626304,17.314742,17.892387,16.737098,339.467377,0.992186
elp1m008-fa05-20201220-0174-e91.fits,0,59204.86505,2459204.865,2459204.868695,1.470425,89.98,15.070927,23.666256,1.35,21,37,56,0.176028,0.111402,0.159023,0.15049,1.001937,0.036737,4.354426,0.229651,0.000413,0.00037,0.000402,0.000397,0.000992,0.000323,0.009816,0.000518,425.915849,301.036104,395.565953,379.078874,1009.863507,113.618873,443.61945,443.61945,2851710.519,2088.894573,2319.386503,2059.706213,2319.886503,2036.793787,10.107889,74.827158,501981.1159,1759.579949,1119.764876,448.291536,3893.538818,285.284631,309.683996,4782,13.207354,16.471025,17.314611,15.627438,352.330162,0.988777,2180.092883,1945.70289,2180.592883,2150.79711,10.11167,74.839791,317685.8626,1029.331297,308.633249,2469.86377,180.546421,308.938137,13.386501,16.639787,17.447264,15.832311,358.998543,0.990613,2209.145792,1774.571914,2209.645792,2321.928086,10.110778,74.858255,453487.1542,1097.245668,413.295917,3378.427734,257.724666,311.642215,13.458698,16.743425,17.545512,15.941338,354.277149,0.990488,2021.006325,2289.475044,2021.506325,1807.024956,10.116229,74.802897,429153.5144,1087.575182,394.596642,3273.180176,243.895433,310.378005,13.074098,16.709873,17.512463,15.907283,357.536703,0.990746,2252.453738,2399.07645,2252.953738,1697.42355,10.109916,74.790567,2857235.065,1903.862737,1500.756861,20239.3418,1623.816563,318.756388,13.082956,16.58423,17.505247,15.663213,355.447642,0.987424,2135.290865,2286.726556,2135.790865,1809.773444,10.113082,74.802969,104763.5309,918.86205,114.014428,916.151428,59.538943,307.19396,12.128046,19.390619,17.964185,20.817052,81.272673,0.976469,1767.976087,1476.728685,1768.476087,2619.771315,10.122834,74.891339,2319121.073,1756.372025,1320.404243,15219.00195,1317.996988,316.457147,13.789098,16.933526,17.587933,16.279119,1.695968,0.994023,3083.483242,1591.112181,3083.983242,2505.387819,10.086498,74.876005,532589.4461,1130.768697,470.997692,3948.762451,302.679879,309.861681,13.058563,16.715595,17.367266,16.063924,342.640666,0.991029
elp1m008-fa05-20201220-0175-e91.fits,0,59204.86639,2459204.866,2459204.870041,1.468105,89.983,15.041059,23.759677,1.35,21,37,56,0.176083,0.111458,0.158954,0.150984,1.00132,0.036917,4.350657,0.22985,0.000415,0.000373,0.000405,0.000399,0.000995,0.000327,0.009866,0.000521,424.25542,298.935957,392.389528,378.043928,1006.226059,112.906352,440.98998,440.98998,2850008.105,2095.946052,2319.378197,2060.025274,2319.878197,2036.474726,10.107889,74.827167,501836.9181,1773.499018,1123.817034,446.546816,3589.25708,282.964306,313.049349,4715,13.495183,16.653059,17.414207,15.891911,351.946485,0.990985,2179.954921,1945.929108,2180.454921,2150.570892,10.111673,74.83981,317655.7108,1036.624598,306.432735,2427.161621,179.112425,310.93601,13.28516,16.661689,17.426074,15.897303,351.952214,0.990919,2209.04805,1774.721259,2209.54805,2321.778741,10.11078,74.858281,453019.1347,1105.399368,409.823949,3220.876221,255.438052,313.517699,13.675264,16.908113,17.63602,16.180206,353.238795,0.992187,2020.914226,2289.828472,2021.414226,1806.671528,10.116231,74.802903,430305.2625,1093.366542,393.559932,3050.497803,242.630674,313.389342,13.459937,16.783392,17.677885,15.888898,356.816724,0.988562,2252.49541,2399.521102,2252.99541,1696.978898,10.109915,74.790564,2853769.086,1907.599389,1496.00021,19266.25977,1609.117939,321.573182,13.401977,16.758046,17.649528,15.866565,355.488468,0.98846,2135.522806,2287.055768,2136.022806,1809.444232,10.113074,74.802977,105212.3703,928.637286,113.297594,945.072693,59.324741,311.079527,11.106737,19.409113,17.808545,21.009681,88.356655,0.973076,1767.913408,1476.923873,1768.413408,2619.576127,10.122834,74.891358,2317361.724,1760.046948,1316.647676,15120.21875,1306.660844,318.724795,13.723514,16.949546,17.549925,16.349168,357.618147,0.994959,3083.5855,1591.421495,3084.0855,2505.078505,10.086496,74.876013,532646.3812,1138.079344,468.022185,3766.147949,300.33644,312.373936,13.109769,16.951048,17.635904,16.266192,344.609375,0.991183
elp1m008-fa05-20201220-0176-e91.fits,0,59204.86774,2459204.868,2459204.871386,1.465829,89.995,14.837979,23.598835,1.35,21,37,56,0.174743,0.111237,0.158126,0.150983,1.001147,0.036347,4.36825,0.228925,0.000413,0.000369,0.0004,0.000395,0.00099,0.000324,0.00986,0.000517,422.819569,301.314395,394.939139,381.821071,1010.914689,112.1225,443.049365,443.049365,2854085.832,2087.164941,2318.8556,2059.535684,2319.3556,2036.964316,10.107892,74.827169,498731.1368,1749.568636,1121.734306,444.607189,3713.77417,285.059486,313.864673,4725,13.062042,16.36257,17.206381,15.518758,352.402613,0.988638,2179.527613,1945.471566,2180.027613,2151.028434,10.111673,74.839808,317478.5523,1027.748213,308.906937,2398.17749,181.461045,310.104312,12.913288,16.611938,17.266296,15.957579,352.492462,0.993367,2208.662447,1774.357805,2209.162447,2322.142195,10.110779,74.858269,451304.8181,1094.022778,412.518667,3168.778076,257.952051,312.213776,12.989249,16.816892,17.565069,16.068714,355.071411,0.991876,2020.427946,2289.277031,2020.927946,1807.222969,10.116232,74.802911,430917.6805,1083.69768,397.636433,3227.595947,246.299386,311.955708,13.323683,16.75116,17.617174,15.885146,356.430016,0.989199,2251.988875,2399.010896,2252.488875,1697.489104,10.109917,74.790567,2857360.098,1903.391251,1501.194301,19527.71094,1633.179768,320.929051,13.10517,16.638145,17.518441,15.757849,354.265754,0.988407,2134.942322,2286.500682,2135.442322,1809.999318,10.113078,74.802986,103737.3481,922.099005,112.501312,925.06958,59.2931,310.065999,11.380263,19.002629,17.718408,20.286849,81.435041,0.980177,1767.50899,1476.578785,1768.00899,2619.921215,10.122834,74.891344,2322425.472,1754.290213,1323.854774,15352.43652,1327.427473,317.008902,13.477101,16.85388,17.477619,16.230141,358.032345,0.994511,3083.208291,1591.10657,3083.708291,2505.39343,10.086494,74.875998,531660.3591,1130.8065,470.160332,3824.752197,303.880824,311.530654,13.411976,16.788252,17.475558,16.100945,344.621108,0.990952
